1,819,M.S. Dhoni
2,803,M.E.K. Hussey
3,783,A.B. de Villiers
4,761,S.R. Tendulkar
5,735,R.T. Ponting
6,718,G.C. Smith
7,712,S. Chanderpaul
7,712,J.H. Kallis
9,711,C.H. Gayle
10,696,K.C. Sangakkara
11,693,V. Sehwag
12,685,T.M. Dilshan
13,683,Yuvraj Singh
14,678,P.D. Collingwood
15,660,M.J. Clarke
16,655,S.K. Raina
17,654,Mohammad Yousuf
18,641,B.B. McCullum
19,637,V. Kohli
20,635,S.R. Watson
21,631,G. Gambhir
22,629,Tamim Iqbal
23,622,L.R.P.L. Taylor
24,617,R.R. Sarwan
25,616,Shoaib Malik
26,614,K.P. Pietersen
27,612,C.L. White
28,606,H.M. Amla
28,606,E.J.G. Morgan
30,605,D.P.M.D. Jayawardene
31,604,Salman Butt
31,604,R.N. ten Doeschate
33,602,S.T. Jayasuriya
34,596,Shakib Al Hasan
35,585,J.P. Duminy
36,584,M.J. Guptill
37,571,Younus Khan
38,564,Umar Akmal
39,562,I.R. Bell
39,562,Misbah-ul-Haq
41,546,S.B. Styris
42,544,M.V. Boucher
43,540,W.U. Tharanga
44,534,B.J. Haddin
45,533,A.J. Strauss
45,533,H. Masakadza
47,530,Kamran Akmal
48,529,J.D.P. Oram
49,526,Shahid Afridi
50,523,B.R.M. Taylor
51,515,S.E. Marsh
52,511,Rizwan Cheema
52,511,Raqibul Hasan
54,504,S.H.T. Kandamby
54,504,G.D. Elliott
56,497,C.J. Ferguson
57,496,J.R. Hopes
57,496,E. Chigumbura
59,495,J.D. Ryder
59,495,T.T. Samaraweera
59,495,S.C. Williams
62,494,Mohammad Ashraful
63,493,J.M. How
63,493,S. Matsikenyeri
65,491,A. Obanda
66,490,Mushfiqur Rahim
67,487,L.P.C. Silva
68,486,A. Bagai
69,484,R.S. Bopara
70,482,T. Taibu
71,476,R. Dravid
71,476,W.T.S. Porterfield
73,465,Mahmudullah
74,464,A.N. Cook
75,461,K.J. O'Brien
76,458,S.O. Tikolo
76,458,M.J. Prior
76,458,N.J. O'Brien
79,457,S. Dhaniram
79,457,G.M. Hamilton
81,445,K.D. Karthik
81,445,Naeem Islam
83,443,D.J. Bravo
84,440,Abdul Razzaq
85,434,C.K. Kapugedera
86,432,M.N. Samuels
87,430,D.L. Vettori
88,425,Imrul Kayes
89,424,R.G. Sharma
90,422,C.O. Obuya
91,418,T.M. Odoyo
92,410,C.K. Coventry
92,410,R.R. Watson
94,406,D.O. Obuya
95,404,J.A. Morkel
96,403,J.M. Davison
97,400,T.D. Paine
97,400,A.D. Mathews
97,400,R.A. Jadeja
100,394,A.N. Petersen
