1,782,A.C. Gilchrist
2,773,R.T. Ponting
3,725,C.H. Gayle
4,724,G.C. Smith
5,723,M.E. Trescothick
6,719,J.H. Kallis
7,711,S.T. Jayasuriya
8,710,Mohammad Yousuf
9,697,R. Dravid
10,695,Inzamam-ul-Haq
11,694,M.S. Atapattu
12,693,M.J. Clarke
13,691,K.P. Pietersen
14,690,S.R. Tendulkar
15,689,A. Symonds
16,688,R.R. Sarwan
17,687,A. Flintoff
18,685,H.H. Gibbs
19,682,D.R. Martyn
20,673,K.C. Sangakkara
21,672,M.L. Hayden
22,670,S.P. Fleming
23,661,A.J. Strauss
24,658,B.C. Lara
24,658,H.H. Dippenaar
26,634,Shoaib Malik
27,633,S. Chanderpaul
27,633,D.P.M.D. Jayawardene
29,625,V. Sehwag
30,608,H.J.H. Marshall
31,601,Yasir Hameed
32,597,C.D. McMillan
33,593,Abdul Razzaq
34,588,Yuvraj Singh
35,586,M. Kaif
36,583,S.C. Ganguly
37,581,C.L. Cairns
38,580,N.J. Astle
39,573,M.P. Vaughan
40,557,Shahid Afridi
41,555,S.B. Styris
42,552,M.E.K. Hussey
42,552,P.D. Collingwood
44,548,M.V. Boucher
45,543,J.A. Rudolph
46,540,A.G. Prince
47,519,V.S. Solanki
48,518,Younus Khan
49,515,V.V.S. Laxman
50,514,G.W. Flower
50,514,R.P. Arnold
52,512,W.W. Hinds
53,498,M.N. Samuels
53,498,Mohammad Ashraful
55,487,M.S. Sinclair
55,487,S.M. Pollock
55,487,G.O. Jones
58,481,B.B. McCullum
59,477,Salman Butt
60,474,Khaled Masud
61,471,M.S. Dhoni
62,466,N.D. McKenzie
62,466,J.M. Kemp
64,461,T. Taibu
65,448,L. Vincent
66,441,D.A. Gunawardene
67,436,Habibul Bashar
68,431,Imran Farhat
69,430,T.M. Dilshan
70,426,E. Chigumbura
71,424,D.R. Smith
72,418,B.R.M. Taylor
72,418,N. Boje
74,414,I.K. Pathan
75,410,Rajin Saleh
76,409,Shahriar Nafees
77,405,G.B. Hogg
78,399,Alok Kapali
79,393,Aftab Ahmed
80,391,D. Mongia
80,391,J.D.P. Oram
82,387,Javed Omer
83,382,Kamran Akmal
84,378,W.U. Tharanga
85,368,S.M. Katich
86,366,S. Matsikenyeri
87,365,A.M. Blignaut
88,361,U.D.U. Chandana
89,350,D.L. Vettori
90,344,S.O. Tikolo
91,340,B. Lee
92,336,J.M. Davison
93,335,A.J. Hall
93,335,G.M. Hamilton
95,334,Imran Nazir
96,333,R.D. Shah
97,331,M.F. Maharoof
97,331,M.A. Vermeulen
99,325,K.O. Otieno
100,323,D.J. Bravo
