1,899,V. Kohli
2,871,R.G. Sharma
3,807,J.E. Root
4,799,D.A. Warner
5,795,L.R.P.L. Taylor
6,783,Babar Azam
7,779,Q. de Kock
8,773,K.S. Williamson
9,767,S. Dhawan
10,753,F. du Plessis
11,727,M.J. Guptill
12,726,J.M. Bairstow
13,715,H.M. Amla
14,707,Tamim Iqbal
15,700,Mushfiqur Rahim
16,694,A.J. Finch
17,685,J.C. Buttler
18,675,Fakhar Zaman
18,675,E.J.G. Morgan
20,674,M.S. Dhoni
21,671,S.P.D. Smith
22,658,T.M. Head
23,642,K.J. Coetzer
24,640,J.J. Roy
25,635,S.D. Hope
26,626,S.O. Hetmyer
27,621,N. Dickwella
28,618,B.A. Stokes
28,618,T.W.M. Latham
28,618,Imam-ul-Haq
31,616,A.D. Mathews
32,609,A.D. Hales
33,594,Shakib Al Hasan
34,593,G.J. Maxwell
35,591,Rahmat Shah
36,586,P.R. Stirling
37,585,Mohammad Shahzad
37,585,C.S. MacLeod
39,583,Mohammad Hafeez
40,576,B.R.M. Taylor
41,571,A.M. Rahane
42,567,D.A. Miller
43,564,Shoaib Malik
44,563,Mahmudullah
45,559,M.R. Marsh
46,558,K.M. Jadhav
47,555,E.C. Joyce
48,554,Sarfaraz Ahmed
49,553,A.T. Rayudu
50,550,W.U. Tharanga
51,547,Soumya Sarkar
51,547,J.P. Duminy
53,539,Sikandar Raza
53,539,M.P. Stoinis
53,539,Imrul Kayes
56,536,K.J. O'Brien
57,533,Mohammad Nabi
58,532,Anshuman Rath
59,528,C. Munro
60,517,M.N. Samuels
61,516,S.C. Williams
62,514,W.T.S. Porterfield
62,514,Azhar Ali
64,510,E. Lewis
65,506,J.O. Holder
65,506,B.K.G. Mendis
67,501,Rameez Shahzad
68,499,M.J. Santner
69,497,L.D. Chandimal
70,491,H. Masakadza
71,490,A. Balbirnie
72,488,H.D.R.L. Thirimanne
73,486,M.D.K.J. Perera
74,485,C.H. Gayle
75,484,N.T. Broom
76,482,M.M. Ali
77,480,Najibullah Zadran
78,478,Nizakat Khan
79,477,Shaiman Anwar
80,471,R.D. Berrington
81,470,S.E. Marsh
82,466,F. Behardien
83,465,S.K. Raina
84,460,N.J. O'Brien
85,457,Hashmatullah Shahidi
85,457,H.H. Pandya
87,454,H.M. Nicholls
87,454,N.L.T.C. Perera
89,453,Sabbir Rahman
90,450,C. de Grandhomme
91,448,Rashid Khan
91,448,Ahmed Shehzad
93,441,C.R. Ervine
94,440,R. Powell
95,438,M.D. Gunathilaka
96,434,C.R. Woakes
97,433,Haris Sohail
98,432,Babar Hayat
98,432,Nasir Hossain
100,431,Javed Ahmadi
