1,891,A.B. de Villiers
2,867,H.M. Amla
3,831,V. Kohli
4,823,K.C. Sangakkara
5,785,T.M. Dilshan
6,757,K.S. Williamson
7,734,G.J. Bailey
8,725,S. Dhawan
9,721,M.S. Dhoni
10,720,Q. de Kock
11,699,L.R.P.L. Taylor
12,692,A.J. Finch
13,674,R.G. Sharma
14,670,J.E. Root
15,663,A.D. Mathews
15,663,Misbah-ul-Haq
17,640,S.R. Watson
18,637,Ahmed Shehzad
19,633,J.C. Buttler
20,629,F. du Plessis
21,628,D.P.M.D. Jayawardene
22,626,I.R. Bell
23,623,S.K. Raina
24,617,D.A. Warner
25,616,Mohammad Hafeez
26,615,M.J. Clarke
27,613,L. Ronchi
28,604,B.B. McCullum
29,601,B.R.M. Taylor
30,595,J.P. Duminy
30,595,J.P. Faulkner
32,593,Mushfiqur Rahim
32,593,G.J. Maxwell
32,593,Shakib Al Hasan
32,593,S.P.D. Smith
36,592,P.R. Stirling
37,589,E.J.G. Morgan
38,588,D.A. Miller
39,586,Umar Akmal
40,580,M.N. Samuels
41,575,Tamim Iqbal
42,574,K.J. O'Brien
43,573,Shahid Afridi
44,570,M.J. Guptill
45,564,A.M. Rahane
45,564,D.M. Bravo
47,550,L.M.P. Simmons
48,549,Nasir Hossain
49,545,H.D.R.L. Thirimanne
50,543,Anamul Haque
51,537,H. Masakadza
52,530,C.J. Anderson
53,529,A.D. Russell
54,517,S.C. Williams
55,516,C.H. Gayle
55,516,R.A. Jadeja
57,515,Mohammad Nabi
57,515,K.A. Pollard
59,509,D.J.G. Sammy
60,507,Mahmudullah
61,504,E. Chigumbura
62,503,Samiullah Shenwari
63,498,J. Charles
64,495,G.D. Elliott
64,495,A.T. Rayudu
66,490,N.J. O'Brien
67,488,E.C. Joyce
68,486,D. Ramdin
69,485,R.S. Bopara
69,485,W.T.S. Porterfield
71,484,S.E. Marsh
72,481,Nasir Jamshed
72,481,M.R. Marsh
74,471,L.D. Chandimal
75,467,J.W.A. Taylor
76,465,B.J. Haddin
77,462,Nawroz Mangal
78,461,Sohaib Maqsood
79,459,V. Sibanda
80,453,K.O.A. Powell
81,451,M.M. Ali
82,447,M.D.K.J. Perera
82,447,Fawad Alam
84,440,W.U. Tharanga
85,435,G.C. Wilson
86,433,Younus Khan
87,430,M.S. Wade
88,428,Yuvraj Singh
89,427,Asghar Afghan
90,424,M.N. Waller
91,423,N.L. McCullum
92,422,R.R. Rossouw
93,420,J.F. Mooney
94,419,M.W. Machan
95,413,R.D. Berrington
96,407,Imrul Kayes
97,406,N.L.T.C. Perera
98,405,Haris Sohail
99,403,Sikandar Raza
99,403,C.R. Ervine
