1,833,B.C. Lara
2,806,M.E. Waugh
3,781,R.A. Smith
4,760,M. Azharuddin
5,758,G.A. Hick
6,748,Inzamam-ul-Haq
7,746,W.J. Cronje
8,744,D.C. Boon
9,740,Saeed Anwar
10,735,N.S. Sidhu
11,723,M.D. Crowe
12,722,S.R. Tendulkar
13,721,P.A. de Silva
14,705,Aamir Sohail
14,705,N.H. Fairbrother
16,700,Basit Ali
17,694,J.N. Rhodes
18,688,A. Ranatunga
19,672,P.N. Kirsten
20,671,Javed Miandad
21,670,V.G. Kambli
22,660,S.R. Waugh
23,652,G.A. Gooch
24,643,A.J. Stewart
24,643,M.A. Atherton
26,642,A.C. Hudson
27,633,M.A. Taylor
28,621,R.B. Richardson
29,609,Ramiz Raja
30,603,P.V. Simmons
31,600,Salim Malik
32,584,K.R. Rutherford
33,579,K.C. Wessels
34,569,M.J. Greatbatch
35,564,A.P. Gurusinha
36,563,C.L. Hooper
37,560,A.H. Jones
38,558,R.S. Mahanama
39,553,Asif Mujtaba
40,550,K.L.T. Arthurton
41,545,S.A. Thomson
42,543,S.V. Manjrekar
43,530,D.L. Houghton
44,521,Kapil Dev
45,515,H.P. Tillekeratne
46,508,B.A. Young
47,500,I.A. Healy
48,497,A. Jadeja
49,489,C.Z. Harris
50,471,G. Kirsten
51,468,M. Prabhakar
52,453,A. Flower
53,452,J.C. Adams
54,433,A.P. Kuiper
55,432,Wasim Akram
56,428,C.L. Cairns
57,426,G.W. Flower
57,426,T.M. Moody
59,424,A.C. Parore
60,416,D.J. Richardson
61,411,D.J. Cullinan
61,411,A.C. Waller
63,408,S.T. Jayasuriya
64,402,U.C. Hathurusinghe
65,401,Ijaz Ahmed, sen.
66,397,R.S. Kalpage
66,397,M.L. Hayden
68,389,B.M. McMillan
69,387,G.R. Larsen
70,382,P.R. Reiffel
71,380,W.V. Raman
72,365,Rashid Latif
73,363,S.P. Fleming
74,360,D.A. Reeve
75,356,M.J. Slater
76,349,M.H. Dekker
77,348,P.A.J. DeFreitas
78,335,Waqar Younis
79,330,C.E.L. Ambrose
80,327,D.R. Martyn
81,326,D.J. Callaghan
82,319,A.C. Cummins
82,319,Ather Ali Khan
84,306,R.P. Snell
85,301,B.R. Hartland
86,297,C.C. Lewis
87,292,A.H. Shah
87,292,Zahid Fazal
89,287,V. Yadav
89,287,C. Sharma
91,285,I.P. Butchart
92,284,R.A. Harper
93,281,R.C. Russell
94,278,Aamer Malik
95,277,Manzoor Elahi
96,273,P.A. Wallace
97,269,C.A. Walsh
98,268,A.D.R. Campbell
99,266,A. Kumble
100,264,Aqib Javed
