1,863,B.C. Lara
2,816,R.A. Smith
3,811,M. Azharuddin
4,803,D.M. Jones
5,797,M.D. Crowe
6,784,M.E. Waugh
7,730,P.A. de Silva
8,727,N.H. Fairbrother
9,724,G.A. Hick
10,714,D.L. Haynes
11,702,Javed Miandad
12,701,Saeed Anwar
13,699,Inzamam-ul-Haq
14,698,D.C. Boon
15,686,A. Ranatunga
16,682,M.A. Taylor
17,671,G.A. Gooch
18,663,N.S. Sidhu
19,661,Basit Ali
20,651,A.H. Jones
21,646,Ramiz Raja
21,646,S.R. Tendulkar
23,640,Salim Malik
24,638,A.J. Stewart
25,622,R.B. Richardson
26,610,M.J. Greatbatch
27,609,S.R. Waugh
28,604,V.G. Kambli
29,603,K.C. Wessels
29,603,Aamir Sohail
31,601,A.R. Border
32,599,W.J. Cronje
33,597,P.N. Kirsten
34,589,J.N. Rhodes
35,582,K.R. Rutherford
36,580,P.V. Simmons
37,577,C.L. Hooper
38,576,K.L.T. Arthurton
39,575,R.S. Mahanama
40,563,S.V. Manjrekar
41,556,A.C. Hudson
42,551,A.P. Gurusinha
43,549,Asif Mujtaba
44,546,Kapil Dev
45,508,D.L. Houghton
45,508,H.P. Tillekeratne
47,504,I.A. Healy
48,472,M. Prabhakar
49,466,T.M. Moody
50,454,A. Flower
51,451,M.A.R. Samarasekera
52,445,P.K. Amre
53,444,M.A. Atherton
54,432,Wasim Akram
55,428,G.W. Flower
56,426,Ijaz Ahmed, sen.
57,415,A.C. Waller
58,414,U.C. Hathurusinghe
59,411,B.A. Young
59,411,J.C. Adams
61,405,R.T. Latham
62,404,B.M. McMillan
63,402,W.V. Raman
64,397,D.J. Cullinan
65,389,S.T. Jayasuriya
66,379,C.Z. Harris
67,372,R.S. Kalpage
68,365,D.A. Reeve
69,359,P.A.J. DeFreitas
70,350,Waqar Younis
71,348,G.R. Larsen
71,348,M.H. Dekker
73,344,Rashid Latif
74,337,C.E.L. Ambrose
75,335,D.R. Martyn
75,335,D.J. Richardson
77,333,P.R. Reiffel
78,332,A.P. Kuiper
79,327,A. Jadeja
80,319,Ather Ali Khan
80,319,C.L. Cairns
82,316,D.J. Callaghan
83,309,Zahid Fazal
83,309,M.J. Slater
85,305,R.P. Snell
86,303,V. Yadav
86,303,C. Sharma
88,295,A.H. Shah
88,295,Aamer Malik
88,295,Manzoor Elahi
91,290,R.C. Russell
92,288,I.P. Butchart
93,287,A.C. Cummins
94,280,C.C. Lewis
94,280,P.A. Wallace
96,279,T.E. Blain
97,272,C.A. Walsh
98,271,Aqib Javed
99,268,Mushtaq Ahmed
100,264,G.P. Wickremasinghe
