1,816,M.G. Bevan
2,796,S.R. Tendulkar
3,790,R.T. Ponting
4,788,S.T. Jayasuriya
5,772,S.C. Ganguly
6,769,J.H. Kallis
7,737,A.C. Gilchrist
8,726,D.P.M.D. Jayawardene
9,725,J.N. Rhodes
10,722,B.C. Lara
11,715,R.P. Arnold
12,713,Inzamam-ul-Haq
13,707,N.V. Knight
14,701,Saeed Anwar
15,691,N.J. Astle
16,673,L. Klusener
17,670,M.E. Trescothick
18,669,M.S. Atapattu
19,662,D.R. Martyn
19,662,G. Kirsten
21,654,Mohammad Yousuf
21,654,R. Dravid
23,649,A. Flower
24,641,C.H. Gayle
25,616,C.L. Hooper
26,614,G.W. Flower
26,614,G.P. Thorpe
26,614,A.D.R. Campbell
29,611,N.D. McKenzie
30,604,H.H. Gibbs
31,595,C.D. McMillan
32,591,S.P. Fleming
33,588,C.L. Cairns
34,581,D.S. Lehmann
35,576,S. Chanderpaul
36,571,Shahid Afridi
37,569,Abdul Razzaq
37,569,D.A. Gunawardene
39,568,H.H. Dippenaar
40,561,S.V. Carlisle
40,561,A.J. Stewart
42,556,C.Z. Harris
43,544,N. Hussain
44,531,M.L. Hayden
45,525,M.N. Samuels
46,522,V. Sehwag
47,518,R.S. Kaluwitharana
48,512,M.V. Boucher
49,511,N. Boje
50,503,D. Mongia
51,498,P.A. de Silva
51,498,Younus Khan
53,496,Yuvraj Singh
54,490,W.W. Hinds
55,489,V.V.S. Laxman
56,487,R.D. Jacobs
57,486,A. Symonds
58,473,S.O. Tikolo
59,469,R.L. Powell
60,461,Imran Nazir
61,460,H.H. Streak
62,454,C.J. Nevin
63,453,L. Vincent
64,451,S.M. Pollock
64,451,Moin Khan
64,451,T.M. Odoyo
67,449,D. Ganga
68,440,K.C. Sangakkara
69,439,A. Flintoff
70,434,H.K. Badani
71,431,M.S. Sinclair
72,428,D.D. Ebrahim
73,423,Akram Khan
74,413,M.O. Odumbe
74,413,C.B. Wishart
76,410,G.C. Smith
77,398,Javed Omer
78,393,G.J. Whittall
79,392,R.D. Shah
80,384,Wasim Akram
81,383,Shoaib Malik
82,380,Naved Latif
83,373,Mehrab Hossain
84,372,Azhar Mahmood
84,372,Salim Elahi
86,370,P.D. Collingwood
86,370,K.O. Otieno
88,366,Naimur Rahman
89,361,Rashid Latif
90,355,M. Kaif
91,353,M.P. Vaughan
92,351,J.D.P. Oram
93,347,A.B. Agarkar
94,343,A.J. Hall
95,338,H.P. Tillekeratne
95,338,Habibul Bashar
97,336,R.R. Sarwan
98,335,G.M. Hamilton
99,334,R.S. Sodhi
100,330,H.S. Modi
