1,859,D.M. Jones
2,785,R.A. Smith
3,779,D.L. Haynes
4,776,M.D. Crowe
5,755,Javed Miandad
6,752,A.H. Jones
7,749,S.R. Tendulkar
8,748,D.C. Boon
9,746,Salim Malik
10,733,G.A. Gooch
11,717,P.A. de Silva
12,704,A. Ranatunga
13,694,B.C. Lara
14,686,Ramiz Raja
15,680,R.B. Richardson
16,666,N.H. Fairbrother
17,657,M. Azharuddin
18,654,N.S. Sidhu
19,651,S.V. Manjrekar
20,650,M.J. Greatbatch
21,647,A.R. Border
22,638,A.J. Stewart
23,631,G.A. Hick
24,607,P.V. Simmons
25,602,Inzamam-ul-Haq
26,600,S.R. Waugh
27,598,K.R. Rutherford
28,589,P.N. Kirsten
29,584,A.P. Gurusinha
30,578,K.C. Wessels
31,572,Kapil Dev
32,565,M.E. Waugh
33,552,C.L. Hooper
34,537,A.L. Logie
35,536,A.C. Hudson
36,528,M.W. Gatting
37,523,Aamir Sohail
38,520,J.G. Wright
39,518,K.L.T. Arthurton
40,516,R.J. Shastri
41,512,M.A.R. Samarasekera
41,512,T.M. Moody
43,510,R.S. Mahanama
44,500,H.P. Tillekeratne
45,498,Ijaz Ahmed, sen.
46,493,M.A. Taylor
47,488,I.A. Healy
48,487,Saeed Anwar
49,469,M.A. Atherton
50,444,W.V. Raman
51,442,W.J. Cronje
52,436,A. Flower
53,417,Wasim Akram
53,417,R.T. Latham
55,397,D.L. Houghton
56,388,A.C. Waller
57,379,P.K. Amre
58,371,P.A.J. DeFreitas
58,371,Shoaib Mohammad
60,370,C.Z. Harris
61,369,A.P. Kuiper
61,369,J.N. Rhodes
63,367,C.E.L. Ambrose
64,354,Ather Ali Khan
65,351,D.R. Pringle
66,348,Zahid Fazal
67,346,K.S. More
68,345,Aamer Malik
69,344,Manzoor Elahi
70,337,M. Prabhakar
71,336,Asif Mujtaba
72,330,P.A. Wallace
73,328,D.J. Callaghan
74,325,C. Sharma
75,319,B.M. McMillan
76,318,R.J. Ratnayake
77,314,A.K. Sharma
78,313,A. Jadeja
78,313,J.E. Emburey
80,311,D.A. Reeve
81,306,R.C. Russell
82,304,A.H. Shah
83,303,Moin Khan
83,303,I.P. Butchart
85,299,M.H. Dekker
86,294,G.R.J. Matthews
87,291,B.A. Young
88,282,Abdul Qadir
89,281,U.C. Hathurusinghe
90,273,R.A. Harper
90,273,D.J. Richardson
92,272,Waqar Younis
93,267,Aqib Javed
94,264,G.R. Larsen
95,262,C.A. Walsh
95,262,Mushtaq Ahmed
97,261,Aminul Islam
98,259,B.P. Patterson
99,256,I.R. Bishop
100,252,V.G. Kambli
