1,933,I.V.A. Richards
2,897,A.J. Lamb
3,841,Zaheer Abbas
4,840,D.I. Gower
5,808,D.L. Haynes
6,801,C.G. Greenidge
7,784,K.C. Wessels
8,757,Javed Miandad
9,752,Kapil Dev
10,744,A.R. Border
11,721,R.L. Dias
12,717,D.B. Vengsarkar
13,680,G.M. Wood
14,661,M.D. Crowe
15,658,J.V. Coney
16,648,S.M. Patil
17,643,K. Srikkanth
18,641,A.L. Logie
19,633,Imran Khan
20,595,G.A. Gooch
21,589,S.M. Gavaskar
21,589,K.J. Hughes
23,586,P.J.L. Dujon
24,583,M.W. Gatting
25,577,G. Fowler
26,576,D.W. Randall
27,573,Mohsin Khan
28,567,I.T. Botham
29,562,W.B. Phillips
30,554,J.G. Wright
31,550,B.A. Edgar
32,549,H.A. Gomes
33,547,R.J. Shastri
34,545,G.P. Howarth
35,536,Mudassar Nazar
36,534,D.M. Jones
37,532,L.R.D. Mendis
38,530,R.B. Richardson
39,511,B.L. Cairns
40,507,J.F. Reid
41,503,Ramiz Raja
42,502,Wasim Raja
43,498,D.W. Hookes
44,496,M. Azharuddin
45,493,M. Amarnath
46,478,A. Ranatunga
47,473,Qasim Omar
48,466,K.M. Curran
49,464,P.A. de Silva
49,464,R.J. Hadlee
51,453,S. Wettimuny
52,439,S.P. O'Donnell
52,439,J.J. Crowe
54,437,P. Willey
55,435,R.M.H. Binny
56,434,A. Malhotra
57,430,R.S. Madugalle
58,406,G.M. Ritchie
58,406,D.C. Boon
60,402,S.A.R. Silva
61,394,M.D. Marshall
62,392,D.L. Houghton
63,377,S.M.H. Kirmani
64,365,I.D.S. Smith
65,364,Madan Lal
66,352,Tahir Naqqash
67,351,M.C. Snedden
68,350,S.H.U. Karnain
69,346,D.S.B.P. Kuruppu
70,345,A.L.F. de Mel
71,336,R.G. de Alwis
72,334,Mansoor Akhtar
73,325,G.F. Lawson
74,312,K. Azad
75,310,E.J. Chatfield
76,303,V.J. Marks
77,287,R.J. Ratnayake
77,287,A.M.J. Hilditch
79,285,M.D. Moxon
79,285,Salim Malik
79,285,J.G. Bracewell
82,284,E.A.E. Baptiste
82,284,M.A. Holding
84,283,J.R. Ratnayeke
85,273,P.R. Downton
86,266,J. Garner
87,263,A.D. Gaekwad
88,260,Manzoor Elahi
89,254,G.R. Dilley
90,251,V.B. John
91,245,Ijaz Faqih
92,229,Anil Dalpat
93,221,Abdul Qadir
94,219,I.P. Butchart
94,219,C.W.J. Athey
96,218,K.H. Macleay
97,213,G.B. Troup
98,209,G.A. Paterson
99,208,P.H. Edmonds
99,208,Naved Anjum
