1,886,H.M. Amla
2,799,V. Kohli
3,782,A.B. de Villiers
4,760,M.E.K. Hussey
5,730,M.S. Dhoni
6,718,V. Sehwag
7,717,T.M. Dilshan
8,702,K.C. Sangakkara
9,690,J.H. Kallis
10,686,G. Gambhir
11,684,S.R. Watson
12,682,M.J. Clarke
13,679,C.H. Gayle
14,670,G.C. Smith
15,667,S.R. Tendulkar
16,666,R.T. Ponting
17,663,S. Chanderpaul
18,661,J.P. Duminy
19,655,Shakib Al Hasan
20,645,I.J.L. Trott
21,642,A.J. Strauss
22,632,E.J.G. Morgan
23,627,P.D. Collingwood
23,627,Yuvraj Singh
25,620,Tamim Iqbal
26,615,L.R.P.L. Taylor
27,611,C.L. White
28,603,D.P.M.D. Jayawardene
29,601,S.K. Raina
30,598,Shahid Afridi
31,596,R.N. ten Doeschate
31,596,R.R. Sarwan
33,593,B.B. McCullum
33,593,M.J. Guptill
35,585,W.U. Tharanga
36,579,S.B. Styris
37,570,B.R.M. Taylor
38,569,K.P. Pietersen
39,560,Shoaib Malik
40,557,Misbah-ul-Haq
41,556,Umar Akmal
42,552,P.R. Stirling
43,547,T.L.W. Cooper
44,544,B.J. Haddin
45,542,S.T. Jayasuriya
46,541,S.E. Marsh
46,541,Younus Khan
48,540,Kamran Akmal
49,537,I.R. Bell
50,532,Y.K. Pathan
51,525,A. Bagai
52,521,K.J. O'Brien
53,520,J.D. Ryder
54,515,Imrul Kayes
55,513,A. Obanda
56,511,A.D. Mathews
57,510,T. Taibu
58,503,W.T.S. Porterfield
59,500,Raqibul Hasan
60,497,Junaid Siddique
61,494,M.V. Boucher
62,490,Mohammad Shahzad
63,488,Abdul Razzaq
64,487,H. Masakadza
65,486,E. Chigumbura
66,482,Mushfiqur Rahim
67,480,T.T. Samaraweera
68,479,J.D.P. Oram
69,477,R.G. Sharma
70,473,D.J. Bravo
71,471,S.H.T. Kandamby
71,471,C.O. Obuya
73,464,L.P.C. Silva
74,460,C.J. Ferguson
75,459,R.S. Bopara
76,458,S.C. Williams
77,451,Fawad Alam
78,450,S.O. Tikolo
78,450,G.D. Elliott
80,449,D.J. Hussey
81,445,M.J. Prior
82,444,K.D. Karthik
83,443,Mohammad Hafeez
83,443,Mahmudullah
85,441,Mohammad Ashraful
86,439,J.M. How
87,436,S. Matsikenyeri
88,435,C.K. Coventry
89,433,N.J. O'Brien
90,432,D.L. Vettori
91,431,N. Deonarine
92,430,C.K. Kapugedera
92,430,L.J. Wright
94,428,D.F. Watts
94,428,Ahmed Shehzad
96,427,J.F. Mooney
97,426,Shahriar Nafees
98,425,Rizwan Cheema
99,423,A.N. Cook
99,423,D.J.G. Sammy
